POPID,Pop_Name
7473,Barnes Creek
47935,Blaney Creek
48025,Chilqua Slough & Creek
47980,Coghlan Creek
47098,Hicks Creek
44645,Hopedale Creek
47963,Kanaka Creek
47950,MacIntyre Creek
47992,Nathan Creek
47557,Norrish  Suicide  Creek
47928,North Alouette River
47015,Peach Creek
47062,Post Creek
47970,Salmon River
46978,Siddall Creek
48012,Silverdale Creek
46037,Squawkum Creek
47000,Street Creek
47018,Sweltzer Creek
47102,Wahleach Creek
48002,Whonnock Creek
47957,Widgeon Creek
46969,Worth Creek
48008,Stave River
47559,Inch Creek
46033,Harrison River
46041,Chehalis River
46047,Weaver Creek
46984,Chilliwack River
