"Year","SpnForTrend_Total","Pop_ID","Pop_Name","CU_ID","CU_Name","Dataset","SpnForAbd_Total","SpnForAbd_Wild","SpnForTrend_Wild","Recruits_Total","Recruits_Wild","DU_ID"
1991,2000,"49620","JAP CREEK","CM-08","Southern Coastal Streams","Cm_ISC",2000,NA,NA,NA,NA,NA
1988,NA,"48426","LEE CREEK","CM-08","Southern Coastal Streams","Cm_ISC",NA,NA,NA,NA,NA,NA
1990,NA,"48426","LEE CREEK","CM-08","Southern Coastal Streams","Cm_ISC",NA,NA,NA,NA,NA,NA
1991,NA,"48426","LEE CREEK","CM-08","Southern Coastal Streams","Cm_ISC",NA,NA,NA,NA,NA,NA
1994,NA,"49590","WAAMTX CREEK","CM-08","Southern Coastal Streams","Cm_ISC",NA,NA,NA,NA,NA,NA
1993,600,"49590","WAAMTX CREEK","CM-08","Southern Coastal Streams","Cm_ISC",600,NA,NA,NA,NA,NA
1990,275,"49590","WAAMTX CREEK","CM-08","Southern Coastal Streams","Cm_ISC",275,NA,NA,NA,NA,NA
1989,50,"49590","WAAMTX CREEK","CM-08","Southern Coastal Streams","Cm_ISC",50,NA,NA,NA,NA,NA
1988,150,"49590","WAAMTX CREEK","CM-08","Southern Coastal Streams","Cm_ISC",150,NA,NA,NA,NA,NA
1985,500,"49590","WAAMTX CREEK","CM-08","Southern Coastal Streams","Cm_ISC",500,NA,NA,NA,NA,NA
1987,12,"49590","WAAMTX CREEK","CM-08","Southern Coastal Streams","Cm_ISC",12,NA,NA,NA,NA,NA
1986,275,"49590","WAAMTX CREEK","CM-08","Southern Coastal Streams","Cm_ISC",275,NA,NA,NA,NA,NA
1984,7,"49590","WAAMTX CREEK","CM-08","Southern Coastal Streams","Cm_ISC",7,NA,NA,NA,NA,NA
1994,125,"49540","WAWWATL CREEK","CM-08","Southern Coastal Streams","Cm_ISC",125,NA,NA,NA,NA,NA
1991,NA,"49540","WAWWATL CREEK","CM-08","Southern Coastal Streams","Cm_ISC",NA,NA,NA,NA,NA,NA
1990,NA,"49540","WAWWATL CREEK","CM-08","Southern Coastal Streams","Cm_ISC",NA,NA,NA,NA,NA,NA
1992,20,"49540","WAWWATL CREEK","CM-08","Southern Coastal Streams","Cm_ISC",20,NA,NA,NA,NA,NA
1989,300,"49600","ALISON RIVER","CM-08","Southern Coastal Streams","Cm_ISC",300,NA,NA,NA,NA,NA
