ReturnYear,ConservationUnit,SubPop,SpawnRDeme,TribDeme,WSP.2014.Data.Use.Categories,Final.Spawner.Estimate,Total.Escapement,Natural.Escapement,Total.Hatchery.Clipped.Escapement.Corrected,Total.Hatchery.Unclipped.Escapement.Corrected,Total.Prefishery.Abundance,prefishery.return.natural,prefishery.return.hatchery.clipped,prefishery.return.hatchery.unclipped,FN.Removals,Classroom.Removals,Fence.Mortalities,AFC.Harvest,Brood.Removed.below.or.at.estimation.site,Brood.Removed.above.estimation.site,BroodYear,Final.Clipped.ER,Smolt.Survival.MU,Final.Smolt.Survival,Average.Fry.Survival.across.CU.Years,Final.Fry.Survival,PeakCountDate,PeakSpawnDate,FinalEstType,EstClass,CompSysSurvey,DataQualClass,AdultPresent,Comments
1975,Fraser Canyon,Fraser Canyon,Nahatlatch River,Nahatlatch R,yellow,9503.820705,9503.820705,9503.820705,0,0,29746.37668,29746.37668,0,0,0,0,0,0,0,0,1972,0.68050493,,,,,,,Infill,Type-7: Infill,,,,
1976,Fraser Canyon,Fraser Canyon,Nahatlatch River,Nahatlatch R,yellow,8129.895945,8129.895945,8129.895945,0,0,25446.07633,25446.07633,0,0,0,0,0,0,0,0,1973,0.68050493,,,,,,,Infill,Type-7: Infill,,,,BC16: 50 coho are scattered through the system
1977,Fraser Canyon,Fraser Canyon,Nahatlatch River,Nahatlatch R,yellow,12259.58022,12259.58022,12259.58022,0,0,38371.73516,38371.73516,0,0,0,0,0,0,0,0,1974,0.68050493,,,,,,,Infill,Type-7: Infill,,,,BC16: 25 coho from log jam to Mehatl creek and partially at water survey station
1978,Fraser Canyon,Fraser Canyon,Nahatlatch River,Nahatlatch R,yellow,11372.23111,11372.23111,11372.23111,0,0,35594.38679,35594.38679,0,0,0,0,0,0,0,0,1975,0.68050493,,,,,,,Infill,Type-7: Infill,,,,BC16: 300coho from bypass to Mehatle creek and partiall at water survey station 
1979,Fraser Canyon,Fraser Canyon,Nahatlatch River,Nahatlatch R,yellow,9497.545646,9497.545646,9497.545646,0,0,29726.73613,29726.73613,0,0,0,0,0,0,0,0,1976,0.68050493,,,,,,,Infill,Type-7: Infill,,,,BC16: coho mostly within 1/2 mile of water survey station
1980,Fraser Canyon,Fraser Canyon,Nahatlatch River,Nahatlatch R,yellow,5461.729257,5461.729257,5461.729257,0,0,17094.87803,17094.87803,0,0,0,0,0,0,0,0,1977,0.68050493,,,,,,,Infill,Type-7: Infill,,,,BC16: None Observed
1981,Fraser Canyon,Fraser Canyon,Nahatlatch River,Nahatlatch R,yellow,6836.340799,6836.340799,6836.340799,0,0,21397.32796,21397.32796,0,0,0,0,0,0,0,0,1978,0.68050493,,,,,,,Infill,Type-7: Infill,,,,BC16: None Observed
1982,Fraser Canyon,Fraser Canyon,Nahatlatch River,Nahatlatch R,yellow,8062.95237,8062.95237,8062.95237,0,0,25236.54704,25236.54704,0,0,0,0,0,0,0,0,1979,0.68050493,0.059001544,0.059001544,2.15E-06,2.15E-06,,,Infill,Type-7: Infill,,,,"BC16: High snow conditions during coho season make access difficult without 4 wheel drive, road has deteriorated in the last 2 years"
1983,Fraser Canyon,Fraser Canyon,Nahatlatch River,Nahatlatch R,yellow,7597.159719,7597.159719,7597.159719,0,0,23778.64458,23778.64458,0,0,0,0,0,0,0,0,1980,0.68050493,0.059001544,0.059001544,2.15E-06,2.15E-06,,,Infill,Type-7: Infill,,,,BC16: No Info
1984,Fraser Canyon,Fraser Canyon,Nahatlatch River,Nahatlatch R,yellow,14924.65674,14924.65674,14924.65674,0,0,46713.26144,46713.26144,0,0,0,0,0,0,0,0,1981,0.68050493,0.059001544,0.059001544,2.15E-06,2.15E-06,,,Infill,Type-7: Infill,,,,BC16: Road conditions and ice on the river made coho counts impractical
1985,Fraser Canyon,Fraser Canyon,Nahatlatch River,Nahatlatch R,yellow,10083.59549,10083.59549,10083.59549,0,0,31561.03623,31561.03623,0,0,0,0,0,0,0,0,1982,0.68050493,0.059001544,0.059001544,2.15E-06,2.15E-06,,,Infill,Type-7: Infill,,,,"BC16: 200 coho too late for accurate count, roads and river iced up"
1986,Fraser Canyon,Fraser Canyon,Nahatlatch River,Nahatlatch R,yellow,11402.83712,11402.83712,11402.83712,0,0,33258.27494,33258.27494,0,0,0,0,0,0,0,0,1983,0.657142857,0.059001544,0.059001544,2.15E-06,2.15E-06,,,Infill,Type-7: Infill,,,,BC16: Not inspected
1987,Fraser Canyon,Fraser Canyon,Nahatlatch River,Nahatlatch R,yellow,13187.02471,13187.02471,13187.02471,0,0,28494.75489,28494.75489,0,0,0,0,0,0,0,0,1984,0.537212208,0.059001544,0.059001544,2.15E-06,2.15E-06,,,Infill,Type-7: Infill,,,,BC16: 250 Coho at water survey station recorder above the lakes. To confluence of Mehaty Creek
1988,Fraser Canyon,Fraser Canyon,Nahatlatch River,Nahatlatch R,yellow,16060.27493,16060.27493,16060.27493,0,0,55758.32403,55758.32403,0,0,0,0,0,0,0,0,1985,0.711966326,0.063450769,0.063450769,2.87E-06,2.87E-06,,,Infill,Type-7: Infill,,,,BC16: 1500 Coho at water survey station recorder above the lakes. To confluence of Mehaty Creek
1989,Fraser Canyon,Fraser Canyon,Nahatlatch River,Nahatlatch R,yellow,11206.16019,11206.16019,11206.16019,0,0,31581.96116,31581.96116,0,0,0,0,0,0,0,0,1986,0.645172124,0.059001544,0.059001544,2.15E-06,2.15E-06,,,Infill,Type-7: Infill,,,,BC16: 1565 Coho at water survey station recorder above the lakes. To confluence of Mehaty Creek
1990,Fraser Canyon,Fraser Canyon,Nahatlatch River,Nahatlatch R,yellow,7109.738502,7109.738502,7109.738502,0,0,26987.11552,26987.11552,0,0,0,0,0,0,0,0,1987,0.736550633,0.063263336,0.063263336,2.84E-06,2.84E-06,,,Infill,Type-7: Infill,,,,"BC16: Coho at water survey station recorder above the lakes. To confluence of Mehaty Creek, very cold temps experienced in laste december early January"
1991,Fraser Canyon,Fraser Canyon,Nahatlatch River,Nahatlatch R,yellow,4674.346085,4674.346085,4674.346085,0,0,14492.14826,14492.14826,0,0,0,0,0,0,0,0,1988,0.677456647,0.065533638,0.065533638,3.27E-06,3.27E-06,,,Infill,Type-7: Infill,,,,BC16: Not inspected
1992,Fraser Canyon,Fraser Canyon,Nahatlatch River,Nahatlatch R,yellow,7506.471557,7506.471557,7506.471557,0,0,40498.0526,40498.0526,0,0,0,0,0,0,0,0,1989,0.814646111,0.071822887,0.071822887,4.71E-06,4.71E-06,,,Infill,Type-7: Infill,,,,BC16: This system was not inspected by Lillooet DFO staff
1993,Fraser Canyon,Fraser Canyon,Nahatlatch River,Nahatlatch R,yellow,2405.672471,2405.672471,2405.672471,0,0,19324.68765,19324.68765,0,0,0,0,0,0,0,0,1990,0.875512996,0.055504908,0.055504908,1.68E-06,1.68E-06,,,Infill,Type-7: Infill,,,,
1994,Fraser Canyon,Fraser Canyon,Nahatlatch River,Nahatlatch R,yellow,4347.846379,4347.846379,4347.846379,0,0,7672.670081,7672.670081,0,0,0,0,0,0,0,0,1991,0.433333333,0.034433723,0.034433723,2.49E-07,2.49E-07,,,Infill,Type-7: Infill,,,,
1995,Fraser Canyon,Fraser Canyon,Nahatlatch River,Nahatlatch R,yellow,3518.755953,3518.755953,3518.755953,0,0,8026.389458,8026.389458,0,0,0,0,0,0,0,0,1992,0.561601643,0.007921832,0.007921832,6.98E-10,6.98E-10,,,Infill,Type-7: Infill,,,,
1996,Fraser Canyon,Fraser Canyon,Nahatlatch River,Nahatlatch R,yellow,1473.202013,1473.202013,1473.202013,0,0,8926.297909,8926.297909,0,0,0,0,0,0,0,0,1993,0.83495935,0.016988663,0.016988663,1.48E-08,1.48E-08,,,Infill,Type-7: Infill,,,,
1997,Fraser Canyon,Fraser Canyon,Nahatlatch River,Nahatlatch R,yellow,1964.148356,1964.148356,1964.148356,0,0,3300.3037,3300.3037,0,0,0,0,0,0,0,0,1994,0.4048583,0.011945055,0.011945055,3.61E-09,3.61E-09,,,Infill,Type-7: Infill,,,,
1998,Fraser Canyon,Fraser Canyon,Nahatlatch River,Nahatlatch R,yellow,5460,5460,5460,0,0,5873.970886,5873.970886,0,0,0,0,0,0,0,0,1995,0.071684347,0.01185069,0.01185069,3.49E-09,3.49E-09,11/18/1998,,AUC,"Type-4: Moderate effort (1-4 surveys), known survey method",,,,AUC estimate based on a 50% OE and 18 d SL - four floats (Nov 6 to Dec 15) - data not broken into holders and spawners - data consistent with BC 16
1999,Fraser Canyon,Fraser Canyon,Nahatlatch River,Nahatlatch R,yellow,4096,4096,4096,0,0,4502.402082,4502.402082,0,0,0,0,0,0,0,0,1996,0.090263392,0.019521356,0.019521356,2.57E-08,2.57E-08,,,AUC,Type-3: High effort (5 or more surveys)  ,,,,AUC estimate from BC16 based on a 50% OE and 18 d SL.  Seven surveys were conducted btw Oct 27 and Dec 16.
