,CU_Name,NME,Year,Props,SiteEsc,Area,Rabcode,CUEsc,Escape,CU
1,1 - Southern Coastal Streams,ALLARDYCE CREEK,1953,0.004163558,25,12,90-6400-100,28327.8388,25,SCS
2,1 - Southern Coastal Streams,ALLARDYCE CREEK,1954,0.004163558,25,12,90-6400-100,49645.64915,25,SCS
3,1 - Southern Coastal Streams,ALLARDYCE CREEK,1955,0.004163558,25,12,90-6400-100,23599.7914,25,SCS
4,1 - Southern Coastal Streams,ALLARDYCE CREEK,1956,0.004163558,25,12,90-6400-100,28481.83666,25,SCS
5,1 - Southern Coastal Streams,ALLARDYCE CREEK,1957,0.004163558,25,12,90-6400-100,31055.29323,25,SCS
6,1 - Southern Coastal Streams,ALLARDYCE CREEK,1958,0.004163558,208.2498163,12,90-6400-100,50017.27295,208.2498163,SCS
7,1 - Southern Coastal Streams,ALLARDYCE CREEK,1959,0.004163558,36.2389419,12,90-6400-100,8703.839843,36.2389419,SCS
8,1 - Southern Coastal Streams,ALLARDYCE CREEK,1960,0.004163558,40.15332374,12,90-6400-100,9643.992917,40.15332374,SCS
9,1 - Southern Coastal Streams,ALLARDYCE CREEK,1961,0.004163558,62.32752628,12,90-6400-100,14969.775,62.32752628,SCS
10,1 - Southern Coastal Streams,ALLARDYCE CREEK,1962,0.004163558,40.7130082,12,90-6400-100,9778.417481,40.7130082,SCS
11,1 - Southern Coastal Streams,ALLARDYCE CREEK,1963,0.004163558,63.13038312,12,90-6400-100,15162.60451,63.13038312,SCS
12,1 - Southern Coastal Streams,ALLARDYCE CREEK,1964,0.004163558,30.38284194,12,90-6400-100,7297.326478,30.38284194,SCS
13,1 - Southern Coastal Streams,ALLARDYCE CREEK,1965,0.004163558,8.592294348,12,90-6400-100,2063.690328,8.592294348,SCS
14,1 - Southern Coastal Streams,ALLARDYCE CREEK,1966,0.004163558,66.79518946,12,90-6400-100,16042.81474,66.79518946,SCS
15,1 - Southern Coastal Streams,ALLARDYCE CREEK,1967,0.004163558,75.79133578,12,90-6400-100,18203.50191,75.79133578,SCS
16,1 - Southern Coastal Streams,ALLARDYCE CREEK,1968,0.004163558,44.62369567,12,90-6400-100,10717.68324,44.62369567,SCS
17,1 - Southern Coastal Streams,ALLARDYCE CREEK,1969,0.004163558,67.20559897,12,90-6400-100,16141.38657,67.20559897,SCS
18,1 - Southern Coastal Streams,ALLARDYCE CREEK,1970,0.004163558,81.92301852,12,90-6400-100,19676.20453,81.92301852,SCS
19,1 - Southern Coastal Streams,ALLARDYCE CREEK,1971,0.004163558,42.44692772,12,90-6400-100,10194.86887,42.44692772,SCS
20,1 - Southern Coastal Streams,ALLARDYCE CREEK,1972,0.004163558,77.66881857,12,90-6400-100,18654.43421,77.66881857,SCS
21,1 - Southern Coastal Streams,ALLARDYCE CREEK,1973,0.004163558,197.0434715,12,90-6400-100,47325.7421,197.0434715,SCS
22,1 - Southern Coastal Streams,ALLARDYCE CREEK,1974,0.004163558,108.5707977,12,90-6400-100,26076.44664,108.5707977,SCS
23,1 - Southern Coastal Streams,ALLARDYCE CREEK,1975,0.004163558,59.36445673,12,90-6400-100,14258.10735,59.36445673,SCS
24,1 - Southern Coastal Streams,ALLARDYCE CREEK,1976,0.004163558,82.90136431,12,90-6400-100,19911.18283,82.90136431,SCS
25,1 - Southern Coastal Streams,ALLARDYCE CREEK,1977,0.004163558,200.8731848,12,90-6400-100,48245.55954,200.8731848,SCS
26,1 - Southern Coastal Streams,ALLARDYCE CREEK,1978,0.004163558,171.8036154,12,90-6400-100,41263.65381,171.8036154,SCS
